station_code,station_name,state,zone
OCH,Odhaniya Chacha,RJ,NWR
OCR,Ochira,KL,SR
OD,Od,GJ,WR
ODB,Oodlabari,WB,NFR
ODC,Oddamhatram,,
ODG,Obaidulla Ganj,MP,WCR
ODHA,Odha,MH,CR
ODM,Ondagram,WB,SER
ODUR,Odur,AP,SR
OEA,Odela,AP,SCR
OEL,Oel,UP,NER
OGL,Ongole,AP,SCR
OGM,Oorgaum,KA,SWR
OKA,Okhla,DL,NR
OKD,Okha Madhi,GJ,WR
OKHA,Okha,GJ,WR
OLA,Olakur,TN,SR
OLP,Olapur,BR,ECR
OLR,Thrissur Ollur Halt,KL,SR
OM,Omkareshwar Road,MP,WR
OML,Omalur,TN,SR
OMLF,Old Malda,WB,NFR
ON,Unnao Junction,UP,NR
OND,Aunlajori Junction,OR,SER
ONR,Coonoor,TN,SR
OPL,Uppal,AP,SCR
ORAI,Orai,UP,NCR
ORC,Orchha,UP,NCR
ORDI,Ordi,RJ,WR
OREH,Ore Halt,,
ORGA,Orga,JH,SER
ORH,Oddarahalli,KA,SWR
ORKI,Orki,RJ,NR
ORR,Orr,MP,WCR
ORW,Orwara,UP,NER
OSA,Ausa Road,MH,CR
OSN,Osiyan,RJ,NWR
OSRA,Osra,MP,WR
OTD,Ootwar,RJ,NCR
OTK,Ottakovil,TN,SR
OTN,Oating,AS,NFR
OTP,Ottappalam,KL,SR
OTR,Moturu,AP,SCR
OV,Otivakkam,TN,SR
OYR,Waria,WB,ER
P,,,
PAA,Patas,MH,CR
PAB,Pattabiram,TN,SR
PAD,Pardi,GJ,WR
PAE,Palana,RJ,NWR
PAGM,Pennada Agraharam,AP,SCR
PAI,Pabai,MP,WCR
PAJ,Paraj,WB,ER
PAK,Pakala Junction,AP,SCR
PAL,Palasner,MP,WCR
PALI,Pali,RJ,NWR
PALM,Palaiyam,TN,SR
PALR,Palur,TN,SR
PAM,Panapakam,AP,SCR
PAN,Panagarh,WB,ER
PANP,Pandavapura,KA,SWR
PAO,Panoli,GJ,WR
PAP,Pithapuram,AP,SCR
PAPM,PalatPotaram,AP,SCR
PAQ,Padiya Nagla,UA,NER
PAR,Pandhurna,MP,CR
PARD,Pathrad,MH,SCR
PARH,Parakheda,MP,WCR
PAS,Pasur,TN,SR
PASA,Parassala,KL,SR
PASG,Panisagar,TR,NFR
PATA,Pata,UP,NCR
PATL,Patel Halt,BR,ECR
PAU,Purna Junction,MH,SCR
PAV,Pedana,AP,SCR
PAVI,Pavi,GJ,WR
PAVP,Pedda Avutapale,AP,SCR
PAW,Pandabeswar,WB,ER
PAX,Patti,,
PAY,Payyanur,KL,SR
PAZ,Payangadi,KL,SR
PB,Puntamba,MH,CR
PBA,Piardoba,WB,SER
PBB,Parbatonia,JH,SER
PBD,Peddabrahmadevam,AP,SCR
PBE,Pilibhit Junction,UP,NER
PBH,Partapgarh Junction,UP,NR
PBJM,Pabnawa Jasmahinder Halt,HR,NR
PBKS,Pamba Kovil Shandy,TN,SR
PBL,Pathsala,AS,NFR
PBM,Pamban Junction,TN,SR
PBN,Parbhani Junction,MH,SCR
PBP,Pembarti,AP,SCR
PBQ,Pathardihbazar,,
PBR,Porbandar,GJ,WR
PBS,Purab Sarai,BR,ER
PBV,Paliba,OR,ECoR
PBW,Pantnagar,UA,NER
PBZ,Porabazar,WB,ER
PC,Pachora Junction,MH,CR
PCC,Prachi Road Junction,GJ,WR
PCF,Penchi,RJ,WCR
PCH,Pachhapur,KA,SWR
PCK,Pachrukhi,BR,NER
PCKM,Pachachakupam,TN,SR
PCL,Pulicherla,AP,SCR
PCLI,Palachauri,MP,CR
PCLM,Panchalam,,
PCMK,Pacharmalikpura,RJ,NWR
PCN,Panch Pipila,MP,WR
PCO,Palayankottai,TN,SR
PCP,Palsap,MH,CR
PCQ,Pichkurirdhal,WB,ER
PCR,Panchra,WB,ER
PCT,Panchtalavda Road,GJ,WR
PCU,Putlacheruvu,AP,SCR
PCV,Palakkodu,TN,SWR
PCW,Perambur Carriage Works,TN,SR
PCX,Pagla Chandi,WB,ER
PCZ,Pocharam,AP,SCR
PD,Pharadahan,UP,NER
PDA,Pundooah,WB,ER
PDD,Padubidri,KA,KR
PDE,Pindrai,MP,SECR
PDG,Paradgaon,MH,SCR
PDGL,Pondugula,AP,SCR
PDGM,Pudunagaram,,
PDGN,Padhegaon,MH,CR
PDH,Padadhari,GJ,WR
PDI,Palasdari,MH,CR
PDKM,Pedanayakanpalayam,TN,SR
PDKN,Pedakakani Halt,AP,SCR
PDKT,Pudukkottai,TN,SR
PDL,Pendekallu Junction,AP,SCR
PDM,Pandikanmoi,,
PDNA,Peddadinne,AP,SCR
PDNR,Padnur,KA,SWR
PDO,Puduru,AP,SCR
PDP,Padse,MH,WR
PDPH,Padapahar Junction,JH,SER
PDPK,Padmapukar,WB,SER
PDPL,Peddapalli,AP,SCR
PDPR,Purandarpur,UP,NER
PDQ,Padla,RJ,NWR
PDR,Payagpur,UP,NER
PDRA,Padra,GJ,WR
PDRD,Pindra Road,UP,NR
PDS,Pindarsi,HR,NR
PDSN,Peddasana,AP,ECoR
PDT,Pendurti,AP,ECoR
PDU,Ponduru,AP,ECoR
PDV,Pandaravadai,TN,SR
PDW,Pandaul,BR,ECR
PDX,Payradanga,WB,ER
PDY,Puducherry,PY,SR
PDZ,Pilioda,RJ,WCR
PEC,Pencharthal,TR,NFR
PED,Pipardahi,MP,SECR
PEE,Paterhi,BR,NER
PEH,Pathardih Junction,JH,ECR
PEI,Perani,TN,SR
PEL,Polireddipalem,AP,SR
PEM,Peralam Jn.,,
PEN,Pen,MH,CR
PEP,Phephna Junction,UP,NER
PER,Perambur,TN,SR
PERN,Pernem,GA,KR
PES,Phesar,BR,ECR
PEU,Perssannur,KL,SR
PEW,Perambur Locomotive Works,TN,SR
PFL,Piprala,GJ,WR
PFM,Phaphamau Junction,UP,NR
PFR,Pachor Road,MP,WCR
PFT,Pothahi,BR,ECR
PFU,Padua,OR,ECoR
PG,Pergaon,MH,SCR
PGA,Pagara,MP,WCR
PGC,Panchgachia,BR,ECR
PGDP,Pagidipalli,AP,SCR
PGG,Penganga,MH,SCR
PGI,Parappangadi,KL,SR
PGK,Pili Bangan,RJ,NWR
PGL,Pagdhal,MP,WCR
PGMD,Pragati Maidan,DL,NR
PGN,Perugamani,TN,SR
PGP,Panduranga Pura,AP,SCR
PGR,Pugazhur,TN,SR
PGRL,Piduguralla,AP,SCR
PGT,Palakkad Junction,KL,SR
PGTN,Palakkad Town,KL,SR
PGU,Padugupadu,AP,SCR
PGW,Phagwara Junction,PB,NR
PGZ,Perunguzhi,KL,SR
PH,Panoh,,
PHA,Patharia,MP,WCR
PHC,Panchot,GJ,WR
PHD,Phaphund,UP,NCR
PHE,Pahaleja Halt,BR,ECR
PHI,Panikhaiti,AS,NFR
PHK,Punarakh,BR,ECR
PHM,Patapatnam,AP,ECoR
PHN,Pokhrayan,UP,NCR
PHQ,Pardhande,MH,CR
PHR,Phillaur Junction,PB,NR
PHRH,Panch Rukhi,HP,NR
PHS,Ferozeshah,PB,NR
PHU,Pahur,MH,CR
PHV,PirthiGanj,UP,NR
PHWR,Pehowa Road,HR,NR
PHX,Pathakpur,UP,NR
PHY,Phariha,UP,NER
PIA,Pipraigaon,MP,WCR
PIC,Paricha,UP,NCR
PIH,Parhihara,RJ,NWR
PIJ,Pij,GJ,WR
PIL,Piler,AP,SCR
PIO,Pilol,GJ,WR
PIP,Piplia,MP,WR
PIRO,Piro,BR,ECR
PIS,Piska,JH,SER
PIT,Palitana,GJ,WR
PIZ,Pingli,MH,SCR
PJ,Peppeganj,UP,NER
PJA,Pajian,PB,NR
PJB,Paniajob,MH,SECR
PJH,Pirjhalar,MP,WR
PJK,Panj Kosi,RJ,NR
PJLE,Panjwara Road,BR,ER
PJN,Panjhan,MH,CR
PJP,Panjipara,WB,NFR
PJR,Pangri,MH,CR
PJY,Para Jani Halt,UP,NCR
PK,Pakni,MH,CR
PKA,Pradhankhunta,JH,ECR
PKB,Patharkhola S,AS,NFR
PKBS,Peeplee-ka-bas,RJ,NWR
PKC,Pakra,JH,SER
PKD,Penukonda Junction,AP,SWR
PKDE,Pilu Khera,HR,NR
PKE,Pimpar Khed,MH,CR
PKF,Pokla,JH,SER
PKGM,Phakhoagram,AS,NFR
PKK,Pakki,PB,NR
PKL,Papinayaknahali,KA,SWR
PKM,Periyanaikanpalayam,TN,SR
PKNA,Pakhna,UP,NCR
PKNS,Pokharni Narasimha,MH,SCR
PKO,Palakollu,AP,SCR
PKP,Pallikkara,KL,SR
PKPU,Peddakurapadu,AP,SCR
PKQ,Pattikkad,KL,SR
PKR,Pakur,JH,ER
PKRA,Parsa Khera,UP,NR
PKRD,Pakara Road,MP,WCR
PKT,Pattukottai,TN,SR
PKU,Panskura,WB,SER
PKW,Pilkhua,UP,NR
PKX,Pakhruli,UP,NR
PKY,Pilkhani,UP,NR
PKZ,Pipli Pakhi Kalan,PB,NR
PL,Mumbai Lower Parel,MH,WR
PLA,Palia,MP,WR
PLAE,Palsit,WB,ER
PLC,Phalodi Junction,RJ,NWR
PLCJ,Phalodi Junction,RJ,NWR
PLD,Paldhi,MH,WR
PLE,Piplee,,
PLF,Piali,WB,ER
PLG,Palghar,MH,WR
PLGH,Paligarh,UP,NER
PLH,Parlakhemundi,OR,ECoR
PLI,Pettaivayatalai,TN,SR
PLJ,Palej,GJ,WR
PLJE,Phulwartanr,JH,ECR
PLK,Palia Kalan,UP,NER
PLL,Parali,KL,SR
PLM,Paneli Moti,GJ,WR
PLMA,Palampurhpoa,,
PLMD,Pilamedu,TN,SR
PLMG,Puliyamangalam,TN,SR
PLMX,Palampur Himachal,HP,NR
PLNI,Palani,,
PLO,Pulgaon Junction,MH,CR
PLP,Phulpur,UP,NR
PLPM,Palappuram,KL,SR
PLS,Pipalsana,UP,NER
PLSG,Palasingi,AP,ECoR
PLSN,Palsana,RJ,NWR
PLT,Pirthala Llauda,HR,NR
PLU,Patakottacheruvu,AP,SCR
PLV,Palsi,MH,CR
PLVA,Pallevada,AP,SCR
PLW,Pingleshwar,MP,WR
PLWR,Phulwaria,UP,NER
PLY,Plassey,WB,ER
PM,Palam,DL,NR
PMB,Pullambadi,TN,SR
PMGN,Pimpalgaon,MH,CR
PMH,Parao Mahna,PB,NR
PMI,Paimar,BR,ECR
PMK,Paramakkudi,TN,SR
PMKT,Pimpalkhuti,MH,CR
PML,Papanasam,TN,SR
PMM,Parsehra Mal,UP,NER
PMN,Paman,UP,NCR
PMO,Pandoli,RJ,NWR
PMP,Pimpri,MH,CR
PMPR,Pampore,JK,NCR
PMQ,Parmanand,PB,NR
PMR,Pitambarpur,UP,NR
PMS,Parmalkasa,CG,SECR
PMT,Pullampet,AP,SCR
PMU,Parmanandpur,BR,ECR
PMY,Pali Marwar,RJ,NWR
PMYA,Parminiya Halt,BR,ECR
PN,Pansar,GJ,WR
PNB,Panbari,AS,NFR
PNBE,Patna Junction,BR,ECR
PNC,Patna Saheb,BR,ECR
PNCB,Pancheberia,WB,ER
PND,Pendra Road,CG,SECR
PNDM,Pennadam,TN,SR
PNDP,Pandillapalli,AP,SCR
PNE,Prantik,WB,ER
PNF,Pangaon,MH,SCR
PNGI,Panangudi,TN,SR
PNGM,Panchgram,AS,NFR
PNGR,Pingora,RJ,WCR
PNHI,Panhai,UP,NCR
PNHR,Panihar,MP,WCR
PNI,Puraini,UP,NR
PNJ,Padriganj,MP,SECR
PNK,Panki,UP,NCR
PNM,Panyam,AP,SCR
PNME,Parasnath,JH,ECR
PNO,Pandu,,
PNP,Panipat Junction,HR,NR
PNPL,Panpali,OR,SER
PNPN,Panpana,OR,SER
PNPR,Punnapura,KL,SR
PNQ,Thrissur Punkunnam,KL,SR
PNRA,Paniara,UP,NER
PNSA,Punsia,BR,ER
PNT,Panitola,AS,NFR
PNU,Palanpur Junction,GJ,WR
PNUG,Punpun Ghat Halt,,
PNV,Panevadi,MH,CR
PNVL,Panvel,MH,CR
PNVT,Pancharatna,AS,NFR
PNW,Pundhag,JH,SER
PNWN,Pachwan,MP,WR
PNYA,Paniahwa,,NER
PO,Parangipettai,TN,SR
POA,Palikona,AP,SCR
POF,Piparsand,UP,NR
POHE,Pohe,MH,CR
POI,Ponpadi,TN,SR
POK,Pokhran,RJ,NWR
POKL,Peokol,UP,NER
POM,Punthottam,,
PON,Ponneri,TN,SR
POO,Potlapadu,AP,SCR
POR,Pipalda Road,RJ,WCR
PORA,Pora,UP,NCR
POTI,Potheri Halt,TN,SR
POU,Padrauna,,
POY,Pollachi Jn.,,
POZ,Potul,MH,SCR
PP,Puranpur,UP,NER
PPA,Pipra,BR,ECR
PPB,Partabpura,PB,NR
PPC,Pipraich,UP,NER
PPCK,Pipalwali Chowk,MP,NCR
PPD,Piplod Junction,GJ,WR
PPDE,Pandu Pindara,HR,NR
PPE,Paintepur,UP,NER
PPEA,Paprera,RJ,NCR
PPF,Piplaj,RJ,NWR
PPG,Piploda Bagla,MP,WR
PPGT,Princep Ghat,,
PPH,Pipri Dih,UP,NER
PPI,Pipariya,MP,WCR
PPJ,Pophlaj,MH,CR
PPKD,Paprakund,UP,ECR
PPLI,Pipli,GJ,WR
PPM,Phirangipuram,AP,SCR
PPN,Punpun,BR,ECR
PPNS,Pappinissery,KL,SR
PPO,Panposh,OR,SER
PPR,Pipar Road Junction,RJ,NWR
PPRH,Piparahan Halt,,
PPT,Pirpainti,JH,ER
PPTA,Patliputra Jn.,,
PPU,Piparpur,UP,NR
PPV,Pratapganj,BR,ECR
PPVL,Pirappanvalasai,TN,SR
PPW,Pachperwa,UP,NER
PPY,Papatapalli,AP,SCR
PPZ,Peddampet,AP,SCR
PQA,Pipla Halt,MH,SECR
PQD,Pranpur Road,WB,NFR
PQE,Pawapuri Road,BR,ECR
PQL,Pindlai,AP,SCR
PQM,Pakkam,,
PQN,Pariawan Kalakankar Road,UP,NR
PQS,Park Circus,WB,ER
PQT,Puniyavant,GJ,WR
PQU,Parhana Mau,MP,WCR
PQY,Pabli Khas,UP,NR
PQZ,Pundibari,WB,NFR
PR,Mumbai Parel,MH,CR
PRAE,Palla Road,WB,ER
PRAR,Paror,HP,NR
PRB,Parbati,MP,WR
PRBZ,Parsa Bazar,BR,ECR
PRCA,Perecherla,AP,SCR
PRDG,Poradanga Halt,WB,ER
PRDL,Paradol,MP,SECR
PRDP,Paradip,OR,ECoR
PRE,Pahara,UP,NCR
PRES,Pattabiram East,TN,SR
PRF,Parsipur,UP,NR
PRG,Prayag,UP,NR
PRGA,Paharjagangaur Halt,BR,ECR
PRGD,Perungudi,TN,SR
PRGL,Perungulattur,TN,SR
PRGT,Pargothan,MH,CR
PRH,Powerpet,AP,SCR
PRI,Pathri,UA,NR
PRJ,Prantij,GJ,WR
PRK,Parkham,,
PRKA,Parikha,GJ,WR
PRKD,Powerkheda,MP,WCR
PRKE,Purua Khera,UP,NR
PRKH,Parkanhatti,KA,SWR
PRKL,Parikkal,TN,SR
PRL,Polur,TN,SR
PRLI,Parli Vaijnath,MH,SCR
PRM,Pirumadara,UA,NER
PRN,Parauna,UP,NCR
PRNA,Purnia Junction,BR,NFR
PRNC,Purnia Court,BR,ECR
PRND,Perinad,KL,SR
PRNG,Pritam Nagar,MP,WR
PRNR,Porjanpur,OR,
PRP,Paharpur,BR,ECR
PRPT,Prshtampatnam,,
PRR,Purulia Junction,WB,SER
PRSL,Pandrasali,JH,SER
PRSP,Prasadpur,UP,NER
PRSR,Paharsar,RJ,NWR
PRT,Panruti,TN,SR
PRTL,Pirtala,WB,ER
PRTN,Pratapnagar,GJ,WR
PRTP,Partapur,UP,NR
PRU,Parlu,RJ,NWR
PRV,Pukkirivari,TN,SR
PRWD,Parewadi,MH,CR
PRY,Paraiya,BR,ECR
PRZ,Parsa,UP,NER
PS,Paras,MH,CR
PSA,Palasa,AP,ECoR
PSAE,Purbasthali,WB,ER
PSB,Parsabad,JH,ECR
PSD,Parsoda,MH,SCR
PSDA,Pasivedala,AP,SCR
PSE,Pusauli,BR,ECR
PSJ,Patasahi,OR,SER
PSK,Paradsinga Halt,MP,SECR
PSL,Parisal,RJ,NWR
PSLI,Parsoli,RJ,WCR
PSLP,Pasalapudi,AP,SCR
PSN,Parsendi,UP,NER
PSO,Palsora Makrawa,MP,WR
PSR,Pasraha,BR,ECR
PST,Posotia,JH,SER
PSX,Patansaongi Town Halt,MH,SECR
PSZ,Parsauni,BR,ECR
PT,Patli,HR,NR
PTA,Patiala,PB,NR
PTAB,Patia Halt,OR,ECoR
PTAE,Patuli,WB,ER
PTB,Pattambi,KL,SR
PTBY,Puttaparthioa,,
PTC,Kodikkarai,,
PTD,Petlad Junction,GJ,WR
PTE,Patiala Cantt.,PB,NR
PTF,Palta,WB,ER
PTG,Patna Ghat,BR,ECR
PTH,Patranga,UP,NR
PTHD,Patohan,MP,WCR
PTI,Patiali,UP,NER
PTJ,Podanur Junction,TN,SR
PTK,Pathankot,PB,NR
PTKC,Pathankot Cantt,,
PTKD,Patharkandi,AS,NFR
PTKP,Potkapalli,AP,SCR
PTKR,Patipukur,WB,ER
PTLD,Patiladaha,AS,NFR
PTLI,Pathauli,UP,NCR
PTLR,Putlur Halt,TN,SR
PTM,Padalam,TN,SR
PTN,Patan,GJ,WR
PTNR,Patel Nagar,DL,NR
PTP,Patal Pani,MP,WR
PTPR,Pratabpur,UP,NER
PTPU,Prattiapadu,AP,SCR
PTRD,Pataudi Road,HR,NR
PTRE,Patara,UP,NCR
PTRJ,Patti Rajpura Halt,HP,NR
PTRL,Pathrala,PB,NWR
PTRT,Pathrot,MH,CR
PTRU,Patratu,JH,ECR
PTS,Patansaongi,MH,SECR
PTT,Putalapattu,AP,SCR
PTU,Partur,MH,SCR
PTWA,Patwara,MP,WCR
PTYR,Patiyara,UP,NR
PTZ,Patsul,MH,SCR
PU,Patchur,TN,SWR
PUA,Pulla,AP,SCR
PUC,Puduchatiram,TN,SR
PUD,Phanda,MP,WR
PUDI,Pudi,AP,SR
PUE,Palari,MP,SECR
PUF,Pauta,UP,NER
PUG,Punggudi,TN,SR
PUK,Pudukkad,KL,SR
PUL,Rampura Phul,PB,NR
PUM,Pallippuram,KL,SR
PUMU,Penumarru,AP,SCR
PUN,Pundi,AP,ECoR
PUNE,Pune Junction,MH,CR
PUO,Pir Umrod,MP,WR
PUPR,Punnapra,KL,SR
PUQ,Puranigudam,AS,NFR
PURI,Puri,OR,ECoR
PUS,Phusro,,ECR
PUT,Puttur,AP,SR
PUU,Punalur,TN,SR
PUV,Pusa Road,,
PUW,Patuwas Mehrana,HR,NWR
PUX,Parasia,MP,CR
PUY,Phulaguri,AS,NFR
PV,Pallavaram,TN,SR
PVD,Peddavadiapudi,AP,SCR
PVI,Peravurani,TN,SR
PVL,Pasupatikovil,TN,SR
PVM,Pattaravakkam,TN,SR
PVN,Puvanur,TN,SR
PVP,Parvatipuram,AP,ECoR
PVPT,Parvatipuram Town,AP,ECoR
PVR,Pandharpur,MH,CR
PVRD,Piravom Road,KL,SR
PVU,Paravur,KL,SR
PVZ,Parvezpur,RJ,NWR
PW,Pirwa,RJ,NWR
PWBN,Pawai Brohmasthan Halt,BR,ER
PWK,Pipariya Kalan,MP,WCR
PWL,Palwal,HR,NR
PWS,Phulwari Sharif,BR,ECR
PWU,Paranur,TN,SR
PWXP,Pawani Kumarpur Halt,,
PXR,Palpara,WB,ER
PY,Perundurai,TN,SR
PYA,Pedapariya,AP,SR
PYD,Palliyadi,TN,SR
PYG,Prayag Ghat,,
PYM,Pandiyapuram,TN,SR
PYOL,Payyoli,KL,SR
PYV,Pazhaya Seevaram,TN,SR
PYX,Peyanapalli,AP,SCR
PZA,Pazhavanthangal,TN,SR
QDN,Qadian,,
QLD,Koyilandy,KL,SR
QLM,Kulem,GA,SWR
QLN,Kollam Junction,KL,SR
QMRS,Kayamsar,RJ,NWR
QRP,Kila Raipur,PB,NR
QRS,Quarrysdg,,
QSR,Kansrao,UA,NR
QTP,Quatabpur,HR,NR
QTR,Kothara,,
QXR,Kuchesar Road,UP,NR
R,Raipur Junction,CG,SECR
RA,Ramparda,GJ,WR
RAA,Barara,HR,NR
RAG,Raigir,AP,SCR
RAGM,Rajagambiram,TN,SR
RAH,Ramgarh,RJ,NCR
RAHA,Raha,AS,NFR
RAI,Raibha,UP,NCR
RAIR,Rairakhol,OR,ECoR
RAJ,Rajpipla,,
RAJP,Rajapur Road,MH,KR
RAJR,Rajur,,
RAK,Ramkot,UP,NR
RAKL,Rethorakalan,MP,NCR
RAL,Repalle,AP,SCR
RAM,Ramapuram,AP,SCR
RAMA,Ramva,UP,NCR
RAMP,Rampuri,MP,SECR
RAMR,Ramalpur,UP,NER
RANI,Rani,RJ,NWR
RAS,Ras,GJ,WR
RAU,Rau,MP,WR
RAWS,Rahatwas,MP,WCR
RAY,Ray,JH,ECR
RAYA,Raya,UP,NER
RBA,Rambha,OR,ECoR
RBD,Rahimabad,UP,NR
RBG,Raybag,KA,SWR
RBGJ,Roberts Ganj,UP,NCR
RBH,Rajbandh,WB,ER
RBJ,Raibojha,UP,NER
RBK,Reoti B Khera,UP,NR
RBL,Rae Bareli Junction,UP,NR
RBN,Raghubans Nagar,BR,ECR
RBR,Ribada,GJ,WR
RBS,Rupbas,RJ,NCR
RBZ,Rambhaddarpur,BR,ECR
RC,Raichur,KA,SCR
RCA,Rentachintala,AP,SCR
RCD,Rajchandrapur,WB,ER
RCF,Kapurthala Rail Coach Factory,PB,NR
RCG,Rachagunnari,AP,SCR
RCGT,Richughutu,JH,ECR
RCJ,Ranyal Jasmiya,MP,WR
RCP,Ramachandrapur,UP,NR
RCRA,Ramchaura,UP,NER
RCTC,Raghunathpur,OR,ECoR
RD,Ram Dayalu Nagar,BR,ECR
RDD,Rikhabdev Road,RJ,NWR
RDDE,Rathdhana,HR,NR
RDE,Rundhi,HR,NCR
RDF,Radhagaon,JH,SER
RDG,Rayadurg,AP,SWR
RDHP,Radhanpur,GJ,WR
RDI,Kardi,KA,SWR
RDK,Rasheedpura Khori,RJ,NWR
RDL,Rudauli,UP,NR
RDM,Ramagundam,AP,SCR
RDN,Rudain,UP,NER
RDP,Radhikapur,WB,NFR
RDRA,Ramdevra,RJ,NWR
RDT,Ravtha Road,RJ,WCR
RDU,Radhamohanpur,WB,SER
RDUM,Rampur Dumra,BR,ECR
RDV,Radha Balampur,UP,NR
RDY,Redipalayam,TN,SR
RE,Rewari,HR,NWR
RECH,Rechni Road,AP,SCR
REG,Regupalem,AP,SCR
REI,Rithi,MP,WCR
REJ,Rejinagar,WB,ER
REM,Reddigudem,AP,SCR
REN,Ren,RJ,NWR
RENH,Renhat,MP,WCR
RES,Rasull,UP,NR
RET,Rentia,GJ,WR
REW,Rewa,,
REWA,Rewa,MP,WCR
RFJ,RafiGanj,BR,ECR
RFR,Rafinagar,UP,NER
RG,Rajghat Narora,UP,NR
RGA,Rajgoda,WB,SER
RGB,Ramganga,UP,NR
RGD,Rajgir,BR,ECR
RGDA,Rayagada,OR,ECoR
RGG,Radogarh,MP,WCR
RGH,Ramgarhwa,BR,ECR
RGI,Ramgiri,KA,SWR
RGJ,RaiGanj,WB,NFR
RGJI,Rangjuli,AS,NFR
RGL,Rengali,OR,ECoR
RGLI,Rangauli,UP,NCR
RGM,Rangapuram,AP,SCR
RGO,Rotegaon,MH,SCR
RGP,Raghunathpalli,AP,SCR
RGPM,Raghavapuram,AP,SCR
RGQ,Raigadh Road,GJ,NWR
RGS,Ringas Junction,RJ,NWR
RGT,Rajghat Halt,OR,SER
RGU,Ragaul,UP,NCR
RGV,Rathopur,BR,ECR
RGX,Raghunathbari,WB,SER
RHA,Ranaghat Junction,WB,ER
RHE,Rakha Mines,JH,SER
RHG,Rajgarh,RJ,NWR
RHI,Rakhi,RJ,NWR
RHMA,Rahama,OR,ECoR
RHN,Roshanpur,UP,NER
RHNE,Rohini,MH,CR
RHR,Rajhura,JH,ECR
RHU,Rahon,PB,NR
RHW,Rohira Galughra,PB,NR
RID,Ridhore,,
RIG,Raigarh,CG,SECR
RIGA,Riga,BR,ECR
RIKA,Ratikheda,MP,WCR
RIM,Rajim,CG,SECR
RIS,Rishra,WB,ER
RJ,Rawat Ganj,UP,NER
RJA,Rajanagar,BR,ECR
RJAK,Rajnagar,MP,NCR
RJAP,Rajapur,AP,SCR
RJB,Rajabera,JH,ECR
RJG,Rajgram,WB,ER
RJGR,Rajathagarh,OR,ECoR
RJI,Rajawari,UP,NER
RJK,Raja Ka Sahaspur,UP,NR
RJL,Rajmahal,JH,ER
RJMP,Rajmalpur Road,UP,NER
RJN,Raj Nandgaon,CG,SECR
RJO,Rajendra Pul,BR,ECR
RJP,Razampeta,AP,SCR
RJPB,Rajendra Nagar Bihar,BR,ECR
RJPM,Rajapalayam,TN,SR
RJQ,Rajendranagar,MP,WR
RJR,Rajaldesar,RJ,NWR
RJS,Rajiyasar,RJ,NWR
RJT,Rajkot Junction,GJ,WR
RJU,Rajula City,GJ,WR
RJW,Rajevadi,MH,CR
RJY,Rajahmundry,AP,SCR
RK,Roorkee,UA,NR
RKB,Raika Bagh,RJ,NWR
RKD,Rukadi,MH,CR
RKH,Rakhiyal,GJ,WR
RKI,Ramkanali Junction,WB,SER
RKJE,Rakhitpur,JH,ECR
RKL,Ramkola,,
RKM,Raja Ki Mandi,UP,NCR
RKN,Rati Ka Nagla,UP,NER
RKO,Ramakrishnapuram Gate,AP,SCR
RKR,Ranikund Rarah,RJ,WCR
RKRI,Rao Khedi,MP,WCR
RKS,Sarai Rani,UP,NER
RKSH,Rishikesh,UA,NR
RKSN,Rajkharsawan Junction,JH,SER
RKX,Rukhi,HR,NR
RKY,Kothariya,GJ,WR
RKZ,Rajkiawas,RJ,NWR
RLA,Rajula Junction,GJ,WR
RLG,Relangi,AP,SCR
RLK,Rohal Khurd,MP,WCR
RLL,Regadipalli,AP,SCR
RLO,Rayalcheruvu,AP,SCR
RLP,Harlapur,KA,SWR
RLR,Raila Road,RJ,NWR
RLS,Romana Albel Singh,PB,NR
RLX,Ramanujampalli,AP,SCR
RM,Rajmane,MH,CR
RMA,Ramganj Mandi,RJ,WCR
RMB,Rampura Beri,RJ,NWR
RMC,Ram Chaura Road,UP,NR
RMD,Ramanathapuram,TN,SR
RMF,Ramna,JH,ECR
RMGJ,Ramganj,UP,NR
RMGM,Ramanagaram,KA,SWR
RMH,Rangmahal,RJ,NWR
RMJ,Ramrajatala,WB,SER
RMJK,Ram Nagar JK,JK,NR
RMM,Rameswaram,TN,SR
RMN,Raman,PB,NWR
RMNP,Ramannapet,AP,SCR
RMNR,Rahmatnagar,UP,NR
RMO,Ramakona,MP,SECR
RMP,Rahimatpur,MH,CR
RMPB,Rampur Bazar,WB,NFR
RMPH,Rampahari,MP,NCR
RMPR,Rampur Halt,JH,ER
RMR,Ramnagar,UA,NER
RMRB,Ramnagar Bengal,WB,
RMSR,Ramsinghpur,RJ,NWR
RMT,Ramgarh Cantt.,JH,SER
RMU,Rampur,UP,NR
RMV,Ramavarappadu,AP,SCR
RMW,Roshan Mau,UP,NCR
RMX,Ramsar,RJ,NWR
RMY,Rukmapur,AP,SCR
RMZ,Routhpuram Halt,AP,ECoR
RN,Ratnagiri,MH,KR
RNA,Rohana Kalan,UP,NR
RNB,Ranpura,RJ,NCR
RNBD,Rana Bordi,GJ,WR
RNBT,Rahenbata,OR,ECoR
RNC,Ranchi Junction,JH,SER
RNE,Ranjani,MH,SCR
RNG,RaniGanj,WB,ER
RNGG,Rangaliting,AS,NFR
RNH,Runkhera,MP,WR
RNI,Rangapani,WB,NFR
RNIR,Rajnarainpur,UP,NER
RNIS,Ranolishishu,RJ,NWR
RNJ,Runija,MP,WR
