station_code,station_name,state,zone
MSDH,Masnadih,,ECR
MSDL,Mahisadal,WB,SER
MSDN,Masudan,BR,ER
MSDR,Murshadpur,UP,NR
MSF,Chennai Fort,TN,SR
MSH,Mahesana Junction,GJ,WR
MSK,Mahes Khunt,BR,ECR
MSMD,Mahasamund,CG,ECoR
MSMI,Misamari,,
MSN,Mursan,UP,NER
MSO,Misrod,MP,WCR
MSOD,Masodha,,NR
MSP,Mansurpur,UP,NR
MSQ,Marwar Ratanpur,GJ,NWR
MSR,Masur,MH,CR
MSRP,Murhesi Rampur,UP,WCR
MSS,Masarahalli,KA,SWR
MSSD,Maheshari Sandhuan,PB,NR
MST,Masit,UP,NR
MSTH,Misrikh Tirath,UP,NR
MSU,Mosur,TN,SR
MSW,Maskanwa,UP,NER
MSZ,Mansa,PB,NR
MT,Matera,UP,NER
MTA,Mathela,MP,WCR
MTAP,Matania Anantpur,WB,ER
MTB,Matlabpur,UP,NR
MTC,Meerut City,UP,NR
MTCN,Triplicane,TN,SR
MTD,Merta Road Junction,RJ,NWR
MTDM,Mettur Dam,TN,SR
MTE,Mettur,,
MTFA,Mertala Phaleya,WB,ER
MTGE,Muthani,BR,ECR
MTH,Mataundh,UP,NCR
MTHH,Mothala Halt,,
MTHP,Mithapur,GJ,WR
MTI,Mitawal,UP,NCR
MTIA,Mothala,,
MTJ,Mathura Junction,UP,NCR
MTJL,Motijheel,MP,NCR
MTJR,Moterjhar,AS,NFR
MTL,Mailam,TN,SR
MTM,Machilipatnam,AP,SCR
MTMI,Motimari,AP,SCR
MTMY,Thirumayilai,TN,SR
MTN,Mumbai Matunga,MH,CR
MTNC,Mattancherihlt,,
MTND,Mattagajpur,OR,ECoR
MTNL,Muttarasanallur,TN,SR
MTO,Maitha,UP,NCR
MTP,Mettupalayam,TN,SR
MTPC,Motipura Chauki,RJ,WCR
MTPR,Raimehatpur,HP,NR
MTR,Motipur,BR,ECR
MTT,Mutupet,TN,SR
MTU,Matmari,KA,SCR
MTUR,Mathur,TN,SR
MTV,Matalkunta,AP,SCR
MTY,Multai,MP,CR
MUA,Musra,CG,SECR
MUC,Mullurkara,KL,SR
MUD,Muradnagar,UP,NR
MUE,Mudkhed,MH,SCR
MUG,Magra,WB,ER
MUGA,Mahugara,MP,WCR
MUGN,Mahutgaon,AS,NFR
MUGR,Manuguru,AP,SCR
MUH,Murthiha,UP,NER
MUK,Munumaka,AP,SCR
MUKE,Mukkali,KL,SR
MULK,Mulki,KA,KR
MUM,Mangapatnam,AP,SCR
MUO,Masangaon,MP,WCR
MUP,Murhipar,CG,SECR
MUPA,Mupa,AS,NFR
MUQ,Marudur,TN,SR
MUR,Mankapur Junction,UP,NER
MURD,Mandawar Mahwa Road,RJ,NCR
MURI,Muri,JH,SER
MUT,Meerut Cantt.,UP,NR
MUU,Mankundu,WB,ER
MUUA,Mahuawa Khurd,UP,NER
MUV,Manduadih,UP,NER
MUW,Mathurapur,JH,ER
MUY,Mugaiyur,,
MUZ,Mohiuddinpur,UP,NR
MV,Mayiladuturai Junction,TN,SR
MVC,Mavinkere,KA,SWR
MVD,Mulvad,KA,SWR
MVE,Mundhewadi,MH,CR
MVF,Manabar,OR,ECoR
MVG,Maligura,OR,ECoR
MVH,Mantatti,AP,SCR
MVI,Morbi,GJ,WR
MVJ,Mavli Junction,RJ,NWR
MVL,Malavli,MH,CR
MVLK,Mavelikkara,KL,SR
MVN,Milavittan,TN,SR
MVO,Manwath Road,MH,SCR
MVP,Mokhasa Kalavapudi,AP,SCR
MVPM,Mavelipalaiyam,TN,SR
MVR,Manavadar,,
MVS,Manavasi,TN,SR
MVV,Maheshi,BR,ER
MVW,Mallividu,AP,ECoR
MW,Mairwa,BR,NER
MWA,Mandwa,MP,CR
MWD,Mhasavad,MH,CR
MWE,Mewa Nawada,UP,NR
MWF,Magardaha,UP,ECR
MWH,Malwan,UP,NCR
MWJ,Marwasgram,MP,WCR
MWK,Mordad Tanda,MH,CR
MWM,Malleswaram,KA,SWR
MWP,Mahrani Pachhim,UP,NR
MWQ,Motari Halt,OR,ECoR
MWR,Mahansar,RJ,NWR
MWRN,Madwarani,CG,SECR
MWT,Marwar Lohwat,RJ,NWR
MWUE,Mahrawal,UP,NCR
MWW,Mahwa,RJ,NWR
MWX,Mallanwala Khas,PB,NR
MWY,Mailaram,AP,SCR
MX,Mumbai Mahalakshmi,MH,WR
MXA,Marauda,CG,SECR
MXH,Makhu,PB,NR
MXJ,Mangurjan,WB,NFR
MXK,Mandrak,UP,NCR
MXL,Mokholi,RJ,WCR
MXN,Mariani Junction,AS,NFR
MXO,Morthala,RJ,NWR
MXP,Malupota,PB,NR
MXR,Mahur,AS,NFR
MXS,Mohasa,MP,NCR
MXT,Malakpet,AP,SCR
MXW,Mahadevsal,JH,SER
MXY,Mahuariya,UP,ECR
MY,Malliyam,TN,SR
MYA,Mandya,KA,SWR
MYD,Manderdisa,AS,NFR
MYE,Mandhali,PB,NR
MYG,Miyagam Karjan,GJ,WR
MYGL,Miyagam Karjan Junction NG,GJ,WR
MYHT,Mayurhat,WB,ER
MYJ,Maheji,MH,CR
MYK,Mayakonda,KA,SWR
MYL,Malliyala,AP,SCR
MYM,Memari,WB,ER
MYN,Miyana,,
MYP,Mundilyampakkam,TN,SR
MYR,Maihar,MP,WCR
MYS,Mysore Junction,KA,SWR
MYU,Mayanoor,TN,SR
MYX,Metyal Sahar PH,WB,SER
MYY,Mayyanad,KL,SR
MZA,Mezenga,AS,NFR
MZC,Mirza Cheuki,JH,ER
MZGI,Manzurgarhi,UP,NCR
MZH,Mauhari,MP,SECR
MZHL,Majhaoli,MP,WCR
MZL,Mirzapali,AP,SCR
MZM,Muzzampur Narayan,UP,NR
MZN,Mahmudpursryn,,
MZP,Mirzapur,UP,NCR
MZQ,Majgaon Assam,AS,NFR
MZR,Murtajapur,MH,CR
